Pitch Type,Avg Speed,Avg Spin,Avg Horizontal Break,Avg Vertical Break
Cutter,89.6,1980,0.2,-14.9
4-Seam,94,2275,-8.4,-13
Slider,87.5,1753,5.7,-35.9
Changeup,86,2107,-12.7,-22
Curveball,83.1,2166,6.4,-49.2
Sinker,94.1,2112,-14.9,-20.9
4-Seam,92.5,2224,5.1,-13.9
Slider,81.4,1917,1.6,-39.6
Changeup,76.5,1386,14.9,-38.9
Curveball,76.9,1782,-0.3,-49.5
Sinker,91.9,2203,12.8,-15.2
Cutter,87.2,2113,2.2,-25.4
4-Seam,92.6,2372,9.1,-13.5
Slider,84.8,2140,-1.9,-33.1
Changeup,85.6,1829,14.7,-24.7
Curveball,78.9,2200,-4.5,-50.2
Sinker,91.4,2143,14.5,-22.7
4-Seam,92.4,2406,-4.3,-12.6
Slider,87.4,2330,4.1,-31.6
Changeup,88.7,1742,-12.8,-29.7
Curveball,74.3,2436,8.9,-62
Sinker,91.9,2192,-12.3,-20
4-Seam,93.4,2175,-10,-13.3
Slider,87.6,2094,1.4,-28.4
Changeup,86.3,1630,-15.3,-27.9
Curveball,79.7,1854,7,-50
Sinker,92.8,1946,-15,-19.2
4-Seam,93.3,2286,-10.9,-13.9
Slider,83.6,2103,1.2,-35.8
Changeup,84,1555,-12.3,-33.8
Curveball,77,2035,2.3,-49
Sinker,93.2,2245,-16.1,-18.3
Cutter,88.6,2261,-3.4,-23.7
4-Seam,91.7,2082,-8.6,-19.7
Changeup,86.3,1678,-12.5,-31.2
Curveball,82.3,2023,5.5,-48
Sinker,91.6,1992,-14.4,-23.7
4-Seam,95.8,2188,-5.8,-11.3
Slider,88.4,1933,5.4,-35.3
Changeup,86.5,1914,-12.4,-26.5
Slider,79.4,1810,-3.5,-45.1
Changeup,83.5,1945,15.6,-29.8
Curveball,73.4,2051,-7,-57.9
Sinker,90.9,2204,12.3,-17.4
Cutter,86.6,2144,-0.4,-26.9
4-Seam,93.6,2538,-6.6,-17
Slider,87.2,2427,1.9,-35
Changeup,89.4,2242,-10.8,-24.5
Sinker,93.5,2423,-13.6,-24
Cutter,92.1,2543,0.5,-22.1
4-Seam,92.1,2497,-7.9,-13
Slider,87.1,2415,0.6,-26.4
Changeup,82.9,1688,-13.2,-28.1
Curveball,75.5,2713,12.7,-61
Sinker,91.1,2382,-15.4,-20.7
4-Seam,93.6,1935,-11.6,-15.2
Slider,84.3,1849,1.6,-30.6
Curveball,73.5,1859,6,-55
Sinker,93.9,1904,-14.7,-18.3
Splitter,81.4,781,-8.7,-39.1
4-Seam,88.6,2285,-8.7,-17.5
Slider,83.1,2083,3.1,-36.4
Changeup,83.7,1962,-12.6,-25.4
Curveball,77.3,2064,9.4,-53.2
Sinker,88.1,2131,-15.4,-21.3
4-Seam,90.9,2169,-4.3,-24.9
Slider,81.6,2295,8.8,-44
Changeup,86.1,1686,-14.6,-28
Curveball,80.3,2575,11.9,-53.6
Sinker,91.5,2081,-13.4,-25.9
Cutter,90.4,2170,-0.1,-25.5
4-Seam,92.2,2194,-8.1,-17.7
Changeup,84.3,1956,-17.4,-29.6
Curveball,78.6,2082,4.7,-51.6
Sinker,92.2,2185,-16,-22.3
Cutter,83.9,1694,2,-39.1
4-Seam,94.2,2213,-0.4,-9.9
Slider,88.6,2105,-5.3,-27.7
Changeup,88.3,2001,8.7,-15.8
Curveball,74,2270,-3.3,-66.2
Sinker,93.7,2224,5.8,-11.9
4-Seam,93.7,2361,-0.5,-15.4
Slider,86.5,2201,7.8,-35.5
Changeup,88.1,1794,-9.7,-25.2
Curveball,81.7,2605,14.5,-50.4
Sinker,93.5,2289,-10.1,-18.2
Cutter,91.6,2382,4.7,-25
4-Seam,90.9,2255,-8.4,-16.6
Slider,82.8,2178,0.3,-36.3
Changeup,82.6,1727,-14.4,-30.8
Curveball,81.5,1758,-8.6,-35.7
Sinker,87.9,2110,-16.7,-27
4-Seam,92.7,2315,5.9,-14.6
Slider,86.8,2176,-2.9,-29.8
Changeup,85.5,1616,13,-26.3
Curveball,77,2312,-10.6,-54.8
Sinker,92.9,2289,9.8,-14.9
4-Seam,93.5,2225,-8.4,-12.5
Slider,83.6,2075,6.3,-38.1
Changeup,85.8,1647,-11.5,-26.5
Curveball,79.9,2401,7.3,-51.9
Sinker,93.7,2209,-14,-15.9
Cutter,86.4,2203,3.7,-30.5
4-Seam,92.1,2266,-10.7,-15.7
Slider,81.2,1740,2,-38
Changeup,83.3,1507,-14.7,-29
Curveball,72.5,2258,8.8,-57.3
Sinker,91.1,2045,-16.5,-21.8
4-Seam,91.8,2278,-8.2,-14.6
Changeup,84.9,1736,-13.4,-27.8
Curveball,78.7,2442,7.5,-51.9
Sinker,91.4,2156,-13.6,-18.9
Cutter,86.5,2334,4.8,-30
4-Seam,91.6,2221,-13.4,-19.3
Slider,84.6,2221,3,-31.7
Changeup,81.3,1677,-13.1,-33.6
Curveball,78.2,2102,7.3,-48.5
Sinker,91.5,2216,-17.5,-23.8
4-Seam,92,2082,4.9,-14.7
Changeup,86.3,1342,10,-23.9
Curveball,80.3,2040,-5,-46.6
Sinker,92.2,2026,12.7,-16.9
4-Seam,96.3,2092,-10.1,-14.5
Changeup,87.4,1989,-17.6,-30.2
Curveball,85.7,1898,7.2,-37.2
Sinker,95.4,1971,-17,-22
4-Seam,92.7,2031,7.7,-16.9
Slider,85.5,2055,-2.1,-32.6
Changeup,85,1784,14.3,-28.2
Curveball,78,2140,-4.5,-47.8
Sinker,93.1,2027,13.7,-19
4-Seam,90.9,2319,-4.8,-17.2
Changeup,80.7,2116,-7.9,-31
Curveball,78.3,2478,8.4,-48.7
Sinker,88.8,2064,-12.7,-24.2
Cutter,88.3,2243,-4.3,-20
4-Seam,96.5,2338,-11.9,-11.8
Slider,90.1,2285,-0.2,-27.1
Changeup,89,1946,-16.1,-24
Curveball,84.2,2186,-0.4,-42.5
Sinker,96.6,2327,-14.9,-14.9
4-Seam,89.6,2347,-10,-14.7
Slider,81.7,2010,0,-36.9
Changeup,84.1,1643,-14.2,-26.4
Curveball,74.2,1990,1.7,-55.6
Sinker,89.9,2252,-16.7,-18.7
4-Seam,91.2,2093,-4.3,-14.7
Slider,87.8,2194,3.9,-26.8
Changeup,85.7,1886,-13,-24
Curveball,79.2,2314,4.4,-53
Sinker,91.1,2070,-9.7,-16.7
Cutter,93.1,2147,-9.8,-14.6
4-Seam,91.6,1853,7.4,-20.4
Slider,82.5,2278,-5.6,-48.9
Changeup,83.9,1545,11.6,-31
Curveball,76.3,2302,-6.8,-62.8
Sinker,91,1769,13.1,-24.8
4-Seam,95.6,2261,-9,-12.3
Slider,90.2,2340,-0.4,-23.7
Changeup,86,1741,-13,-27.6
Curveball,82.3,2068,5.6,-42
Sinker,95.3,2143,-14.6,-16.9
Changeup,83.6,1814,16.4,-34.8
Curveball,80.8,1766,-4.7,-44.2
Sinker,89.8,1915,14.4,-22.7
4-Seam,92.1,2258,-8,-11.4
Slider,86.3,2132,3.9,-29.2
Changeup,83.3,1590,-10.5,-23.6
Curveball,75.8,2106,7.2,-62
Cutter,91.1,2280,-0.4,-12.8
4-Seam,95.6,2346,-10.7,-12.1
Slider,85.5,1821,0.4,-32.8
Changeup,86.1,1276,-9.1,-30.8
Curveball,80,2442,3.9,-53.7
Sinker,95,2301,-15.8,-16.9
4-Seam,91.9,2180,-4.6,-11.9
Slider,82.9,1891,8.5,-35.8
Curveball,71.8,2207,8.1,-66.9
Sinker,92,2145,-10.6,-13.3
Cutter,86.7,2081,3.8,-21.3
Splitter,85.6,1457,-9.8,-27.2
4-Seam,89.6,2050,7.1,-20.5
Slider,80.6,1957,-3.3,-40.5
Changeup,83.3,1347,12.6,-32.4
Curveball,75,2187,-5.9,-56.3
Sinker,89.5,1891,14.9,-26
Cutter,87.6,2178,0.6,-25.3
4-Seam,91.5,2220,7.2,-14.4
Slider,85.1,2019,-1.7,-36
Changeup,83.6,1956,15.5,-27
Curveball,77.5,2351,-3.8,-55.9
Sinker,91.3,2108,14.9,-17.2
4-Seam,90.2,2109,-8.9,-21.5
Slider,77,2099,11.2,-43.4
Changeup,82.6,1932,-15.4,-35.2
Curveball,74.6,2279,12.9,-57.3
Sinker,89.5,2063,-16.6,-26.6
4-Seam,92.9,2100,7.7,-14.8
Changeup,84.9,1721,13.2,-27.6
Curveball,78.8,2235,-7.9,-56.1
Sinker,93.2,2102,14,-18.4
Cutter,89.1,1998,0.7,-24.1
4-Seam,90,2185,-5.6,-13.1
Slider,77.8,1746,1.7,-46.5
Changeup,83.6,1792,-13.7,-28.7
Curveball,72.9,2542,5.5,-71.4
Cutter,84.6,2177,3.6,-29.8
4-Seam,92.3,2109,10,-11.2
Slider,83.8,2050,-3.6,-31.4
Changeup,83.4,1487,13,-24.3
Curveball,73.9,2219,-6.4,-59.2
Sinker,91.4,2004,15.1,-15.8
4-Seam,95.4,2211,-11.1,-13.8
Slider,85.7,2033,1.6,-34
Changeup,86.3,1638,-13.1,-26.9
Curveball,80.2,2042,7.5,-43.8
Sinker,95.3,2126,-15.2,-17.4
4-Seam,93.6,2328,-9.1,-14.5
Slider,88.2,2300,1.5,-27.4
Changeup,88.7,2164,-15.6,-23.1
Curveball,81,2236,3.8,-48.9
Sinker,94,2317,-15.1,-19.2
4-Seam,94.8,2125,-9.4,-11.6
Curveball,74.8,1916,9.7,-55.9
Sinker,95.8,2134,-14.1,-11.8
Cutter,90.2,2169,-0.1,-21.2
Splitter,89.4,1485,-13.6,-25.1
4-Seam,93.5,2252,-10.4,-14.1
Slider,83.9,1524,-9.5,-34.3
Changeup,86.1,1512,-12.3,-31
Curveball,77.4,2171,7.2,-52.4
Sinker,93.5,2046,-16.6,-20
Cutter,89,2111,-1.6,-25.2
Splitter,85.2,1568,-13.3,-30.5
4-Seam,94.4,2483,-13.1,-17.3
Slider,86.2,2159,-0.7,-33.8
Curveball,83.2,2071,1.5,-43.3
Sinker,94.4,2374,-18.4,-21.8
Cutter,92.1,2484,-5.2,-18.2
Splitter,85.7,1326,-13.6,-29.2
4-Seam,94.6,2257,9.4,-13.1
Changeup,85.8,1975,15.9,-27.2
Curveball,80.1,2045,-10.8,-44.2
Sinker,94.8,2193,14.4,-14.7
Cutter,89.7,2141,-1.2,-24.7
4-Seam,92.6,2094,-9.9,-14.9
Slider,86.1,2119,1.3,-31.7
Changeup,85.1,1691,-15.1,-29.7
Curveball,79.4,2390,6.7,-59.1
Sinker,93,2082,-14,-17.1
4-Seam,91.9,2358,-11.3,-13.8
Slider,85.6,1833,0.7,-30.9
Changeup,83.9,1880,-14,-27.4
Curveball,77.7,2492,8.4,-57.9
Sinker,92.5,2388,-16.7,-15.1
4-Seam,89.8,2348,-6.9,-12
Changeup,79.1,2091,-12.1,-25.9
Curveball,77.9,2580,8,-58.6
Cutter,88.6,2379,0.5,-18.4
4-Seam,95,2302,-12.6,-16.3
Slider,85.9,1912,1,-33.6
Changeup,87,2060,-12.8,-26.6
Curveball,79.4,1769,2.3,-44.1
Sinker,94.2,2154,-16.1,-20.9
4-Seam,96.4,2507,-2.2,-17.6
Slider,87.9,2722,3.9,-42.1
Changeup,93.2,2416,-18.2,-28.2
Curveball,79.9,3103,9.9,-63
Sinker,96.1,2523,-10.5,-18.7
Cutter,95.7,2437,2.8,-19.5
4-Seam,89.5,2146,4.2,-21.6
Slider,79.8,2022,-8.7,-48.8
Changeup,79.6,1617,15.9,-33.6
Sinker,90.1,2044,14.1,-25.1
Cutter,85.4,2022,-1.2,-31.4
4-Seam,92.6,1942,-6.9,-18.1
Slider,85,2120,0.7,-38.5
Changeup,88.6,1778,-12.3,-32.1
Curveball,80.7,2392,9.6,-52.9
Sinker,92.1,1915,-14.3,-22.5
4-Seam,92.9,2147,-10,-13.6
Slider,84.9,2060,3.3,-37.4
Changeup,85.6,1715,-15,-26.5
Curveball,77.1,2109,8.1,-56.6
Sinker,92.8,2148,-15,-16.4
4-Seam,96.3,2156,-13.3,-16
Slider,87.7,1928,3.6,-35.8
Changeup,88.8,1709,-14.4,-25.8
Curveball,82.1,2464,12.5,-46.4
Sinker,96.2,2152,-15.9,-17.9
4-Seam,95,2292,-10.3,-13.8
Slider,90.8,2222,3.3,-26.9
Changeup,89.5,1944,-18.3,-28.5
Curveball,81.2,2689,8,-56.7
Sinker,95.3,2262,-15.5,-16
4-Seam,94.8,2498,-15.1,-14.3
Slider,86.6,2217,-0.8,-31.7
Changeup,85.4,1474,-16.7,-32.8
Curveball,80,2189,3.9,-44.8
Cutter,89.9,2292,-5.8,-27
4-Seam,92.8,2419,-10.8,-16.7
Slider,87,2304,-1.7,-28.9
Changeup,84.9,1903,-15.2,-30.3
Curveball,78.1,2032,6.8,-54.3
Sinker,91.5,2210,-15.3,-25.1
4-Seam,92,2105,6.6,-14.8
Changeup,81.7,1373,8.9,-29.7
Curveball,80,1750,-6.6,-50.6
Sinker,91.9,1995,13.2,-18.5
4-Seam,92.6,2222,6.6,-14.8
Changeup,85.1,1656,12.8,-30.7
Curveball,75.6,2361,-11.1,-54
Sinker,91.5,2010,12.1,-23.3
Cutter,88.6,2290,-3,-25.9
4-Seam,86.6,2161,-9.6,-18.2
Curveball,76.8,2212,5.5,-52.6
Sinker,85.9,1961,-14.4,-22.4
Cutter,83.9,2219,1.5,-26.6
Splitter,81.7,1383,-9.1,-31.6
4-Seam,90,2358,9,-15.4
Slider,80.3,2079,-2.2,-32.3
Changeup,81.5,1786,13.1,-29.7
Curveball,76.3,1774,-5.4,-50.1
Sinker,90,2269,14.4,-18.7
Cutter,86.5,2368,-0.7,-23.1
4-Seam,95.5,2102,-9.9,-15.4
Slider,83.9,2119,3.4,-35.9
Changeup,83.6,1541,-12.3,-30.2
Curveball,75.9,2065,4.1,-53.2
Sinker,93.5,2021,-14.6,-22
4-Seam,92,2410,-6.7,-18.1
Changeup,85.2,1751,-12.3,-34.1
Curveball,83.8,2607,15.2,-38.2
Sinker,92,2268,-15.2,-24.9
Cutter,88.5,2604,3.2,-29.7
4-Seam,87.3,2074,-4.1,-19.8
Changeup,78.6,2090,-11.2,-33.4
Curveball,71.8,2795,14.9,-67.7
Sinker,86.6,1947,-12.4,-26.9
4-Seam,90.8,2267,7.7,-17.9
Slider,81.7,2389,-3.3,-42.8
Changeup,81,1710,11.3,-31.1
Curveball,72.5,2089,-2.4,-53.7
Sinker,90.8,2215,14.5,-22.2
4-Seam,91.6,2417,-6.9,-14.1
Slider,81.4,2482,4.2,-43.8
Changeup,83.7,1740,-12.4,-28.2
Curveball,74.5,2220,8.8,-64.1
Sinker,91.5,2273,-13,-17.7
4-Seam,92.4,2310,-8.2,-17.4
Slider,89.4,2466,5.3,-29.1
Changeup,88,1650,-14.7,-33.1
Curveball,80.7,2771,13.5,-55.7
Sinker,93,2241,-15.6,-22.2
4-Seam,91.9,2250,7.7,-15.9
Changeup,81.2,1901,11.2,-30.5
Curveball,73.7,2336,-4.1,-62.6
Sinker,91.1,2195,14.5,-21.1
Cutter,87.6,2464,-2,-26.2
4-Seam,91.5,2019,5.1,-16.5
Changeup,86.3,1275,10.2,-29.9
Curveball,76.1,2176,-7.6,-58
Sinker,91.5,1980,12.6,-19.2
4-Seam,89.4,2308,-8.2,-15.8
Slider,85.2,2390,1.2,-27.1
Changeup,83.3,1894,-15.7,-33.6
Curveball,72.4,2771,11.2,-73.2
Sinker,89.2,2239,-14.2,-20.7
4-Seam,86.2,1944,9.2,-21.4
Slider,77.7,2072,-5.9,-45.4
Changeup,77.7,1522,13.9,-39
Curveball,72.5,2206,-11.8,-61.2
Sinker,86.3,1878,15,-25.9
Cutter,83.4,2006,-1.2,-29.4
4-Seam,89.8,2166,-1.1,-20.9
Slider,78.7,2190,-10.2,-48.6
Changeup,79.6,1544,13.7,-35.6
Sinker,89.1,2040,10.8,-26.7
Cutter,86.4,2166,-3.6,-30.2
4-Seam,91.3,2024,-6.6,-20
Slider,82.2,2474,14.5,-45.2
Changeup,84.7,1488,-9.1,-33.8
Curveball,79.1,2364,14.4,-49.1
Sinker,90.6,1978,-14.8,-26.3
4-Seam,89.2,2360,-7.9,-25.5
Changeup,81.1,1287,-8.4,-41.6
Curveball,81.4,2178,3.5,-52.5
Sinker,89.9,2234,-15.2,-29.2
Cutter,88.9,2197,-1.4,-25.6
4-Seam,93.1,2219,-5.7,-15.1
Slider,85.4,2472,4.8,-37.4
Changeup,85.6,1696,-13.7,-31.2
Curveball,80.7,2471,6,-50.1
Sinker,92.9,2086,-14.1,-19.9
4-Seam,95.8,2200,-13.5,-17.6
Slider,83.6,2206,0.2,-40.9
Changeup,86.2,1931,-16.8,-34.8
Sinker,95.6,2102,-18.4,-24
4-Seam,90.5,2282,9,-18.2
Slider,80.5,2322,-2.4,-41.3
Changeup,78.6,1760,10.3,-34.6
Curveball,72.1,2276,-14.5,-58.3
Sinker,90.1,2281,14.3,-22.4
4-Seam,95.8,2312,-9.5,-13.1
Slider,90.8,2338,1.7,-26
Changeup,86.3,1958,-13.5,-23.5
Curveball,79.3,2556,8,-54.9
Sinker,96,2234,-13.3,-15.7
Splitter,89.3,1605,-12,-24.7
4-Seam,89.9,2326,-7.5,-20.2
Slider,80.2,2582,5.5,-42.4
Changeup,82.6,1615,-14.6,-33
Curveball,72.5,2670,13.4,-59.1
Sinker,89.4,2154,-15.9,-28.8
4-Seam,92.7,2241,9.2,-17.9
Changeup,85.3,1719,15.9,-32.3
Curveball,79.1,2207,-7.2,-47.1
Sinker,92.7,2172,15.9,-21.3
Cutter,88.6,2159,0,-26.3
4-Seam,96.1,2243,-14.1,-17.6
Curveball,79.7,2923,17.8,-56
Sinker,95.1,2109,-17.5,-24.1
Cutter,88.3,2518,3.5,-31.8
Splitter,87.3,2122,-18.7,-32.8
4-Seam,94.1,2309,-4.9,-17.1
Slider,88,2361,3.5,-32
Changeup,88.4,1680,-14.5,-28.1
Curveball,78.5,2613,9.3,-61.1
Sinker,93.5,2218,-13.2,-20.2
4-Seam,94.7,2015,-8.5,-17.1
Slider,87.8,2182,2.3,-28.9
Changeup,86.3,1557,-8.9,-24.7
Curveball,79.6,2457,6,-49.2
Sinker,95,1883,-10.1,-24.1
4-Seam,95.6,2148,-10.9,-14.8
Slider,86.4,2242,0.1,-29
Changeup,89.9,1813,-15.1,-23.3
Curveball,84.8,2278,5.3,-37.1
Sinker,95.8,2124,-15.6,-19.1
4-Seam,95.2,2350,-4,-14.8
Slider,89.8,2393,4.7,-28
Changeup,87.9,1709,-9.2,-26.5
Curveball,82.2,2649,10.7,-55
Sinker,95.2,2223,-13.3,-19.6
4-Seam,95.8,2364,4.7,-11.6
Slider,88,2399,-4.9,-32.9
Changeup,87.5,1777,13.3,-23.4
Curveball,81.3,2517,-6,-54.1
4-Seam,97.6,2365,-6.4,-12.6
Slider,88.1,2872,10.1,-38.3
Changeup,88.1,1648,-11.8,-24.6
4-Seam,94.8,2268,-8.9,-13
Slider,84.8,2477,7.9,-38.4
Changeup,87.1,1856,-14.8,-27.1
Curveball,80.1,2840,12.9,-57.2
Sinker,94.7,2194,-13.8,-16.6
4-Seam,93,2179,6.7,-15.7
Slider,80.5,2583,-11,-47.9
Changeup,86.3,1619,11.9,-28.1
Curveball,76.8,2713,-9.2,-67.4
4-Seam,95.4,2207,-6.2,-17
Slider,85.5,2349,2,-37.2
Changeup,85.7,1730,-11.7,-29.7
Curveball,82,2689,6.1,-50.6
Sinker,94.1,2154,-13.6,-23.4
4-Seam,91,2230,7.7,-17.5
Changeup,84.9,1805,14,-32.4
Curveball,74.8,2571,-11.9,-56
Sinker,90.2,2073,13.7,-26.6
Cutter,88.1,2381,-1.8,-25.1
4-Seam,89.1,2121,-8.8,-26.9
Slider,80.2,2447,8.5,-46.2
Changeup,83.7,1769,-14.4,-40.8
Curveball,78.4,2560,15.8,-53.8
Sinker,88.8,2006,-14,-32.3
Cutter,87.3,2200,0.6,-30.1
Slider,80.9,2178,0.8,-38.7
Changeup,82.9,2125,12,-26.4
Curveball,78.4,2076,-1.1,-44.9
Sinker,91.5,2353,14.9,-19.6
Changeup,83.3,1931,16.5,-33
Curveball,78.6,2383,-5,-50
Sinker,91.9,2467,14,-18.8
4-Seam,89.9,2136,-7.8,-21
Slider,79.3,2367,13.3,-43.1
Changeup,82.7,1387,-9.9,-34.2
Curveball,73.3,2365,12,-57.3
Sinker,90.2,2026,-15.9,-27.5
Splitter,86.1,1598,-9,-33.6
4-Seam,95,2618,-11,-11
Slider,86.5,2684,3.6,-34.6
Changeup,87.4,1899,-17,-27.7
Curveball,79.5,2894,9.3,-58.7
Cutter,91.5,2558,-2.6,-20.2
4-Seam,91.5,2103,-7,-16.4
Slider,85,2286,3.7,-32.3
Changeup,83.4,1731,-14,-29.6
Curveball,74.7,2744,13.5,-66.5
Sinker,91.3,2048,-14.1,-20.1
Cutter,89.3,2145,0.2,-21.7
4-Seam,89.5,2335,-1.3,-17.5
Slider,83.4,2540,7.1,-38.2
Changeup,86.5,1738,-12,-33
Curveball,71.2,2476,11.9,-68.3
Sinker,90,2278,-11.9,-21.8
4-Seam,92.4,2099,-8.1,-16.5
Slider,83.9,2015,2.8,-36.9
Changeup,81.7,1651,-10.9,-32
Curveball,78.6,2359,8.3,-59.2
Sinker,92.4,2003,-14.7,-20.7
4-Seam,93.6,2168,-11.3,-16.1
Slider,81.4,2210,1.9,-40.4
Sinker,94.6,2296,-11.5,-16.1
Splitter,82.6,1479,-13.8,-35.9
4-Seam,91.8,2266,6.5,-20.9
Slider,85.8,2194,-2.8,-32.6
Changeup,85.5,1393,11.3,-32.4
Curveball,79.9,2217,-2.5,-42.9
Sinker,90.6,2212,13,-27.3
4-Seam,96.5,2379,-11.1,-12.5
Slider,88.7,2571,5.2,-31.5
Changeup,87.7,1667,-14.5,-24.5
Curveball,82.5,2842,12.4,-52.8
Sinker,96.3,2315,-15.6,-16.3
4-Seam,94.5,2322,-8.3,-14.2
Slider,82,2666,13.5,-43.2
Changeup,87,1852,-15.7,-29.3
Curveball,79.1,2601,8.3,-63.8
Sinker,94.4,2316,-15.4,-19.7
Cutter,86.7,2611,5.4,-35.9
4-Seam,96,2362,-4.3,-13.2
Slider,91.1,2496,3.9,-26.9
Changeup,89,1700,-12.6,-28.4
Curveball,82.7,2564,6.6,-43.9
Sinker,95.5,2257,-12,-17.6
4-Seam,91.1,2171,-4.4,-18.3
Slider,81.5,2203,6.8,-41.3
Changeup,83.2,1681,-14,-31
Curveball,75.5,1979,6.4,-52.3
Sinker,88.6,1874,-14.1,-27.7
4-Seam,89.5,2271,-8,-20.4
Changeup,83.4,1665,-14.5,-32.4
Curveball,78.2,2478,6.3,-49.5
Sinker,89,2178,-13.9,-29.8
Cutter,86.4,2342,4.5,-29.3
4-Seam,91.3,2433,-8.4,-17.1
Slider,86,2555,2.7,-31.6
Changeup,81.4,1760,-15.8,-35.9
Curveball,74.8,2824,15.8,-61.7
Sinker,89.8,2352,-16.2,-24.9
4-Seam,92.7,2116,-12.6,-18.9
Changeup,84.8,1478,-14.7,-36.1
Curveball,78,2545,16.4,-56.1
Sinker,91.4,2057,-17,-25.2
4-Seam,90.1,2227,9.3,-18.6
Changeup,82.7,1631,13.5,-34.2
Curveball,75.7,2715,-12.9,-65.4
Sinker,89.3,2120,16,-25.1
4-Seam,93.6,2298,-7.8,-14.8
Slider,79.5,2386,16.5,-41.9
Changeup,87.6,1500,-14,-26.9
Curveball,75.4,2195,11.7,-59.5
4-Seam,94.4,2487,-10.8,-17.3
Slider,85.2,2386,3.2,-37.3
Changeup,83.9,1457,-15.1,-37.7
Curveball,78.4,2512,8,-52
Cutter,88.7,2425,1.5,-28.2
4-Seam,91.1,2255,-10,-17
Slider,83.3,2202,6.7,-33.7
Curveball,72.6,2290,9.1,-67.3
Cutter,86.4,2221,2.1,-24.5
Splitter,84.2,1605,-11.9,-31.6
4-Seam,92.3,2334,7.1,-14.7
Slider,85.3,2187,-2.8,-32.5
Changeup,86,1619,14.3,-30
Curveball,75.9,2130,-2.5,-56.7
Sinker,90.4,2140,14.2,-24.8
4-Seam,92.3,2083,7.7,-16.8
Slider,85,2115,-0.5,-35.7
Changeup,83.4,1652,13.4,-30.4
Curveball,78.8,2197,-5.6,-55.6
Sinker,91.4,2076,15.1,-23.3
Cutter,87.5,2045,-1.1,-27.9
4-Seam,90.1,2251,8.8,-17.1
Changeup,83.6,2206,17.4,-31.5
Curveball,78.1,2450,-7.8,-59.6
Sinker,90.1,2267,14.6,-20.8
Cutter,87.1,2343,-1.5,-24.8
4-Seam,96.3,2349,-8.1,-13.5
Slider,86.7,2518,4.2,-34.1
Changeup,87.8,1909,-14.5,-24.6
Curveball,80,2499,4.8,-48.3
Sinker,96.5,2248,-15.7,-18.5
4-Seam,93.7,2353,-11.6,-17.4
Slider,83.9,2645,3,-41.7
Changeup,88,1507,-10.7,-35.7
Curveball,81.6,2825,10.9,-48.6
Sinker,92.9,2205,-17.1,-25.1
4-Seam,93.4,2213,-10.2,-16.3
Changeup,83.7,1633,-14.6,-35.5
Curveball,81.7,2360,15.4,-43.9
Sinker,92.8,2145,-16.4,-21.7
